module(equipment),timestamp,localtime,operation,voltageR,voltageS,voltageT,voltageRS,voltageST,voltageTR,currentR,currentS,currentT,activePower,powerFactorR,powerFactorS,powerFactorT,reactivePowerLagging,accumActiveEnergy,suspicious_reason,accum_diff
1(PM-3),2025-03-09 10:01:10,2025-03-09 02:01:10,1,211.81,215.35,219.36,369.93,376.46,373.4,22.53,9.99,12.17,2557.7,92.35,90.4,96.1,751.85,9040809,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:01:15,2025-03-09 02:01:15,1,218.04,210.07,213.36,370.74,366.69,373.59,28.6,9.6,15.82,3100.65,98.02,94.36,96.03,449.45,9040813,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:01:20,2025-03-09 02:01:20,1,217.77,219.91,214.87,379.03,376.51,374.67,11.91,24.56,17.41,3129.35,90.57,86.31,87.37,534.99,9040818,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:01:25,2025-03-09 02:01:25,1,214.14,217.13,219.38,373.48,378.02,375.42,27.59,13.95,20.42,3577.74,94.63,94.81,97.95,407.2,9040823,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:01:30,2025-03-09 02:01:30,1,211.39,213.99,212.9,368.38,369.69,367.43,18.0,10.93,25.9,3109.13,89.38,91.02,90.73,429.18,9040827,accumActiveEnergy decreased,-3038.0
1(PM-3),2025-03-09 10:01:35,2025-03-09 02:01:35,1,216.65,210.86,211.37,370.23,365.66,370.67,8.84,21.05,12.36,2391.08,94.56,86.58,96.1,508.96,9040830,accumActiveEnergy decreased,-3038.0
1(PM-3),2025-03-09 10:01:40,2025-03-09 02:01:40,1,219.53,215.6,211.85,376.82,370.17,373.57,29.71,11.87,19.8,3540.13,98.13,97.42,86.86,539.15,9040835,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:01:45,2025-03-09 02:01:45,1,213.15,211.4,217.72,367.66,371.62,373.14,18.2,27.4,8.36,3064.42,87.44,93.29,98.83,422.97,9040839,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:01:50,2025-03-09 02:01:50,1,214.38,213.59,218.49,370.62,374.19,374.87,24.33,28.35,15.19,3891.03,99.4,90.3,92.28,646.99,9040845,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:01:55,2025-03-09 02:01:55,1,215.91,210.54,219.36,369.3,372.29,376.94,17.91,14.79,20.8,3078.3,88.77,89.31,98.78,580.28,9040849,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:02:00,2025-03-09 02:02:00,1,214.09,218.94,215.58,375.0,376.29,372.1,8.99,14.81,18.46,2439.18,87.31,88.85,98.24,392.21,9040853,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:02:05,2025-03-09 02:02:05,1,216.97,213.92,216.9,373.15,373.09,375.74,8.06,23.73,20.21,2988.82,95.85,86.63,93.08,817.67,9040857,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:02:10,2025-03-09 02:02:10,1,213.97,217.91,219.54,374.01,378.83,375.42,24.55,12.11,9.57,2664.61,90.06,95.38,85.47,271.58,9040860,accumActiveEnergy decreased,-3037.0
1(PM-3),2025-03-09 10:02:15,2025-03-09 02:02:15,1,216.65,210.8,219.04,370.17,372.24,377.3,21.05,27.8,22.59,4097.95,98.8,94.65,95.85,1200.54,9040866,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:02:20,2025-03-09 02:02:20,1,219.09,213.18,219.89,374.35,375.04,380.15,6.59,13.23,24.0,2544.57,86.29,94.59,97.14,520.14,9040870,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:02:25,2025-03-09 02:02:25,1,219.16,214.79,210.64,375.8,368.42,372.2,24.23,12.97,13.6,2922.9,87.77,98.93,99.89,378.72,9040874,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:02:30,2025-03-09 02:02:30,1,218.23,213.89,217.57,374.21,373.64,377.4,26.16,26.42,13.15,3792.23,97.81,91.96,95.31,842.37,9040879,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:02:35,2025-03-09 02:02:35,1,211.58,215.08,216.25,369.49,373.54,370.5,23.4,10.46,11.0,2554.5,92.41,97.89,87.04,751.81,9040882,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:02:40,2025-03-09 02:02:40,1,213.67,219.83,214.1,375.41,375.79,370.45,17.17,5.24,20.74,2469.77,94.89,88.6,99.68,300.02,9040886,accumActiveEnergy decreased,-3034.0
1(PM-3),2025-03-09 10:02:45,2025-03-09 02:02:45,1,218.59,214.56,214.79,375.11,371.82,375.31,25.38,21.82,15.01,3587.29,94.81,87.69,88.55,602.95,9040891,accumActiveEnergy decreased,-3034.0
1(PM-3),2025-03-09 10:02:50,2025-03-09 02:02:50,1,218.58,217.16,216.98,377.35,375.96,377.19,25.38,29.01,18.22,4213.48,90.46,97.3,96.83,515.08,9040897,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:02:55,2025-03-09 02:02:55,1,211.67,217.87,212.61,371.98,372.8,367.42,14.74,18.35,18.58,2951.53,85.04,94.47,99.5,690.73,9040901,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:03:00,2025-03-09 02:03:00,1,216.05,211.42,211.9,370.19,366.6,370.61,20.33,7.77,11.13,2238.13,93.82,92.72,96.4,337.22,9040904,accumActiveEnergy decreased,-3032.0
1(PM-3),2025-03-09 10:03:05,2025-03-09 02:03:05,1,215.64,215.92,212.55,373.73,371.06,370.82,13.33,7.22,14.23,1988.92,92.14,96.21,87.82,431.99,9040907,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:03:10,2025-03-09 02:03:10,1,214.1,212.8,215.23,369.7,370.68,371.8,10.89,7.07,28.93,2683.27,85.16,95.22,87.09,733.39,9040910,accumActiveEnergy decreased,-3034.0
1(PM-3),2025-03-09 10:03:15,2025-03-09 02:03:15,1,217.98,218.04,218.44,377.59,378.0,377.94,19.49,29.27,16.74,3809.47,91.18,90.5,87.97,617.85,9040916,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:03:20,2025-03-09 02:03:20,1,210.17,211.84,218.45,365.47,372.63,371.19,21.01,26.28,15.85,3585.74,94.72,98.72,96.16,954.89,9040921,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:03:25,2025-03-09 02:03:25,1,212.2,214.62,215.09,369.62,372.13,370.03,20.96,23.6,8.76,3039.15,94.21,87.34,94.75,814.0,9040925,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:03:30,2025-03-09 02:03:30,1,215.38,217.63,211.86,374.99,371.94,369.99,7.57,21.21,7.19,2071.83,93.91,85.01,94.71,570.88,9040928,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:03:35,2025-03-09 02:03:35,1,217.2,211.49,217.33,371.25,371.37,376.3,9.58,9.97,24.08,2512.66,86.34,90.14,85.52,440.43,9040931,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:03:40,2025-03-09 02:03:40,1,214.51,216.71,218.19,373.43,376.62,374.72,26.39,14.91,28.69,4041.03,98.77,87.67,96.71,513.05,9040937,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:03:45,2025-03-09 02:03:45,1,211.41,212.21,217.09,366.86,371.77,371.08,25.29,10.2,26.84,3556.88,94.79,90.11,90.7,534.89,9040942,accumActiveEnergy decreased,-3028.0
1(PM-3),2025-03-09 10:03:50,2025-03-09 02:03:50,1,212.86,213.37,219.72,369.11,375.06,374.61,19.38,21.85,8.02,2813.21,95.57,93.1,94.52,708.32,9040946,accumActiveEnergy decreased,-3030.0
1(PM-3),2025-03-09 10:03:55,2025-03-09 02:03:55,1,214.98,211.86,216.19,369.64,370.7,373.39,18.24,6.14,12.02,2085.64,93.44,95.57,88.84,411.5,9040949,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:04:00,2025-03-09 02:04:00,1,213.04,214.63,218.38,370.36,374.99,373.6,16.82,28.41,15.52,3485.69,91.36,93.3,95.96,767.4,9040954,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:04:05,2025-03-09 02:04:05,1,217.18,210.32,215.79,370.22,369.02,374.95,13.12,14.18,14.12,2367.16,96.18,85.95,94.43,646.13,9040957,accumActiveEnergy decreased,-3032.0
1(PM-3),2025-03-09 10:04:10,2025-03-09 02:04:10,1,218.73,213.45,213.91,374.26,370.09,374.67,20.2,16.17,8.7,2594.5,90.2,96.1,97.2,539.09,9040960,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:04:15,2025-03-09 02:04:15,1,210.17,211.78,217.9,365.41,372.11,370.71,18.71,21.24,29.12,3940.1,97.89,96.66,94.33,1051.77,9040966,accumActiveEnergy decreased,-3031.0
1(PM-3),2025-03-09 10:04:20,2025-03-09 02:04:20,1,216.84,214.81,214.16,373.81,371.49,373.25,14.55,5.49,7.39,1577.68,88.72,94.49,86.01,214.69,9040968,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:04:25,2025-03-09 02:04:25,1,219.1,218.48,213.01,378.95,373.67,374.21,21.79,23.64,26.59,4160.54,86.58,95.03,92.0,465.37,9040974,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:04:30,2025-03-09 02:04:30,1,214.97,212.09,213.4,369.83,368.47,370.97,22.66,23.24,14.24,3424.21,89.15,93.41,86.78,428.25,9040979,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:04:35,2025-03-09 02:04:35,1,219.04,219.81,212.1,380.05,374.03,373.37,19.77,8.51,20.73,2826.09,93.47,99.52,92.53,821.6,9040983,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:04:40,2025-03-09 02:04:40,1,216.91,215.24,214.2,374.24,371.89,373.34,7.21,16.63,15.29,2244.98,90.87,90.68,85.15,362.96,9040986,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:04:45,2025-03-09 02:04:45,1,216.12,213.15,215.02,371.75,370.8,373.36,16.64,8.46,24.03,2817.93,91.57,99.94,98.93,351.8,9040990,accumActiveEnergy decreased,-3036.0
1(PM-3),2025-03-09 10:04:50,2025-03-09 02:04:50,1,219.82,211.27,212.71,373.32,367.16,374.56,26.93,17.92,6.05,2930.82,91.76,92.72,94.5,429.16,9040994,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:04:55,2025-03-09 02:04:55,1,216.6,212.99,213.71,372.02,369.52,372.65,16.8,23.84,7.49,2751.52,90.79,87.5,93.71,324.55,9040997,accumActiveEnergy decreased,-3035.0
1(PM-3),2025-03-09 10:05:00,2025-03-09 02:05:00,1,212.42,211.66,215.64,367.25,370.04,370.7,28.05,24.47,26.96,4520.71,99.55,89.41,87.06,555.06,9041004,accumActiveEnergy decreased,-3033.0
1(PM-3),2025-03-09 10:05:05,2025-03-09 02:05:05,1,213.81,215.23,212.06,371.55,370.03,368.8,19.78,24.47,21.89,3769.7,94.12,90.49,90.98,410.38,9041009,accumActiveEnergy decreased,-3030.0
1(PM-3),2025-03-09 10:05:10,2025-03-09 02:05:10,1,218.27,210.41,212.79,371.24,366.49,373.29,25.28,22.28,9.32,3250.66,99.48,96.44,95.01,381.33,9041013,accumActiveEnergy decreased,-3030.0
1(PM-3),2025-03-09 10:05:15,2025-03-09 02:05:15,1,218.67,215.46,216.57,375.96,374.14,376.92,28.49,29.95,20.38,4559.27,91.63,99.48,90.19,1055.25,9041020,accumActiveEnergy decreased,-3025.0
1(PM-3),2025-03-09 10:05:20,2025-03-09 02:05:20,1,215.81,212.4,219.29,370.84,373.85,376.8,25.46,13.43,18.01,3279.22,85.55,86.83,98.33,679.36,9041024,accumActiveEnergy decreased,-3026.0
1(PM-3),2025-03-09 10:05:25,2025-03-09 02:05:25,1,219.63,217.26,211.54,378.35,371.35,373.4,26.35,23.04,29.72,4554.8,98.71,87.0,97.19,1267.34,9041031,accumActiveEnergy decreased,-3024.0
1(PM-3),2025-03-09 10:05:30,2025-03-09 02:05:30,1,213.22,214.91,213.13,370.76,370.68,369.22,11.62,19.15,9.47,2296.66,85.48,97.42,88.01,325.68,9041034,accumActiveEnergy decreased,-3026.0
1(PM-3),2025-03-09 10:05:35,2025-03-09 02:05:35,1,215.43,214.57,213.67,372.38,370.86,371.6,28.48,14.33,23.09,3771.78,86.68,92.97,87.4,874.74,9041039,accumActiveEnergy decreased,-3025.0
1(PM-3),2025-03-09 10:05:40,2025-03-09 02:05:40,1,212.9,215.17,210.08,370.71,368.27,366.3,21.76,27.73,23.55,4145.45,98.76,96.76,86.95,538.56,9041045,accumActiveEnergy decreased,-3025.0
1(PM-3),2025-03-09 10:05:45,2025-03-09 02:05:45,1,217.29,212.66,219.32,372.34,374.09,378.11,18.84,22.47,11.66,3048.0,97.28,97.84,89.47,313.49,9041049,accumActiveEnergy decreased,-3023.0
1(PM-3),2025-03-09 10:05:50,2025-03-09 02:05:50,1,213.6,217.46,219.07,373.3,378.04,374.7,5.41,7.34,24.47,2162.99,93.51,90.51,86.36,444.41,9041052,accumActiveEnergy decreased,-3023.0
1(PM-3),2025-03-09 10:05:55,2025-03-09 02:05:55,1,210.9,212.43,215.69,366.6,370.76,369.42,29.38,23.99,29.76,4723.1,96.76,98.31,90.45,1129.49,9041059,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:06:00,2025-03-09 02:06:00,1,211.88,215.67,219.81,370.26,377.13,373.85,15.67,10.43,29.14,3192.96,99.07,91.67,88.64,625.92,9041063,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:06:05,2025-03-09 02:06:05,1,211.65,214.69,218.62,369.21,375.24,372.62,18.11,15.39,23.5,3273.36,98.83,86.15,93.56,796.9,9041068,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:06:10,2025-03-09 02:06:10,1,215.49,218.04,211.63,375.44,372.1,369.89,11.89,17.57,24.58,3092.36,98.64,88.05,91.93,800.87,9041072,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:06:15,2025-03-09 02:06:15,1,211.84,217.12,219.34,371.48,377.97,373.4,27.36,27.05,13.38,3894.61,88.41,88.69,99.93,777.84,9041077,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:06:20,2025-03-09 02:06:20,1,212.74,211.9,210.08,367.74,365.43,366.17,20.66,12.17,8.03,2309.67,96.03,91.42,85.56,404.25,9041081,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:06:25,2025-03-09 02:06:25,1,210.36,211.19,212.1,365.06,366.57,365.85,5.71,15.27,18.23,2211.21,89.05,97.51,88.25,309.85,9041084,accumActiveEnergy decreased,-3023.0
1(PM-3),2025-03-09 10:06:30,2025-03-09 02:06:30,1,217.55,215.09,215.56,374.67,372.95,375.08,20.67,21.13,22.55,3706.91,90.95,87.23,99.32,452.58,9041089,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:06:35,2025-03-09 02:06:35,1,213.98,219.22,216.49,375.15,377.32,372.78,7.33,25.16,18.84,2976.36,95.07,87.03,90.18,316.0,9041093,accumActiveEnergy decreased,-3019.0
1(PM-3),2025-03-09 10:06:40,2025-03-09 02:06:40,1,214.81,213.83,211.88,371.2,368.66,369.51,21.95,27.16,11.17,3437.22,95.44,92.81,88.52,664.73,9041098,accumActiveEnergy decreased,-3017.0
1(PM-3),2025-03-09 10:06:45,2025-03-09 02:06:45,1,213.24,218.57,218.92,373.94,378.86,374.25,16.17,26.49,20.47,3658.36,98.18,90.76,97.46,671.45,9041103,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:06:50,2025-03-09 02:06:50,1,215.13,215.19,214.08,372.65,371.75,371.7,7.44,16.49,17.35,2363.66,96.99,96.81,90.85,372.13,9041106,accumActiveEnergy decreased,-3019.0
1(PM-3),2025-03-09 10:06:55,2025-03-09 02:06:55,1,211.89,213.58,214.23,368.46,370.49,369.02,11.84,28.38,15.94,3195.76,93.1,98.64,92.55,326.17,9041110,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:07:00,2025-03-09 02:07:00,1,213.95,219.31,219.8,375.2,380.27,375.62,23.34,9.35,8.61,2382.7,98.99,95.53,87.5,568.03,9041114,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:07:05,2025-03-09 02:07:05,1,219.6,213.54,214.29,375.1,370.5,375.75,24.96,27.05,5.18,3297.56,92.69,93.85,87.33,968.94,9041118,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:07:10,2025-03-09 02:07:10,1,210.12,213.21,219.88,366.61,375.06,372.38,14.62,11.56,24.71,2925.03,96.16,95.4,96.48,421.74,9041122,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:07:15,2025-03-09 02:07:15,1,216.47,210.94,217.85,370.14,371.33,376.12,21.02,16.46,23.5,3504.28,93.39,90.01,90.8,524.7,9041127,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:07:20,2025-03-09 02:07:20,1,219.38,219.7,215.26,380.24,376.68,376.4,13.24,5.85,17.93,2146.36,93.42,90.91,95.3,411.71,9041130,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:07:25,2025-03-09 02:07:25,1,213.67,212.65,218.87,369.19,373.7,374.58,13.82,28.11,10.75,3009.08,99.78,91.21,94.07,848.2,9041134,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:07:30,2025-03-09 02:07:30,1,216.4,213.51,212.46,372.3,368.89,371.39,28.14,20.05,10.39,3354.0,93.78,90.17,99.99,543.52,9041139,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:07:35,2025-03-09 02:07:35,1,214.32,211.11,214.76,368.42,368.81,371.58,25.65,20.14,12.46,3313.47,87.73,89.17,98.83,370.36,9041144,accumActiveEnergy decreased,-3017.0
1(PM-3),2025-03-09 10:07:40,2025-03-09 02:07:40,1,215.94,219.46,216.54,377.05,377.58,374.53,15.89,24.74,14.42,3195.48,99.32,96.05,99.27,957.84,9041148,accumActiveEnergy decreased,-3016.0
1(PM-3),2025-03-09 10:07:45,2025-03-09 02:07:45,1,217.48,213.73,213.38,373.43,369.88,373.13,12.36,10.1,5.01,1577.68,89.11,87.81,87.85,175.07,9041150,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:07:50,2025-03-09 02:07:50,1,218.28,213.51,213.63,373.93,369.9,374.03,8.91,15.05,16.97,2342.3,94.07,94.96,91.48,680.16,9041154,accumActiveEnergy decreased,-3019.0
1(PM-3),2025-03-09 10:07:55,2025-03-09 02:07:55,1,219.89,212.25,214.06,374.23,369.18,375.8,28.4,5.66,12.45,2696.5,86.3,99.99,94.2,713.04,9041157,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:08:00,2025-03-09 02:08:00,1,214.92,217.82,219.71,374.75,378.89,376.39,23.39,8.68,14.87,2715.25,89.0,94.07,89.08,580.36,9041161,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:08:05,2025-03-09 02:08:05,1,218.22,215.5,213.51,375.61,371.52,373.88,9.61,22.16,18.49,2885.27,88.27,87.26,92.64,318.25,9041165,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:08:10,2025-03-09 02:08:10,1,218.11,212.43,210.58,372.85,366.33,371.24,14.68,24.99,7.0,2662.38,88.63,93.43,91.42,401.65,9041169,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:08:15,2025-03-09 02:08:15,1,216.23,213.18,210.13,371.87,366.58,369.23,8.89,15.49,17.75,2387.89,86.21,90.24,92.11,664.07,9041172,accumActiveEnergy decreased,-3024.0
1(PM-3),2025-03-09 10:08:20,2025-03-09 02:08:20,1,215.67,218.23,218.33,375.75,378.06,375.84,27.24,11.82,7.02,2663.07,88.57,99.37,89.3,509.73,9041176,accumActiveEnergy decreased,-3023.0
1(PM-3),2025-03-09 10:08:25,2025-03-09 02:08:25,1,210.09,218.45,215.28,371.11,375.61,368.37,24.19,25.39,19.71,3965.72,85.02,89.9,95.48,809.77,9041181,accumActiveEnergy decreased,-3021.0
1(PM-3),2025-03-09 10:08:30,2025-03-09 02:08:30,1,210.11,217.09,217.16,369.95,376.06,370.01,22.03,27.12,29.22,4496.5,96.96,95.74,88.63,706.88,9041188,accumActiveEnergy decreased,-3019.0
1(PM-3),2025-03-09 10:08:35,2025-03-09 02:08:35,1,213.42,218.48,217.96,374.02,377.95,373.57,12.4,28.37,18.51,3434.5,99.29,91.05,94.49,658.38,9041192,accumActiveEnergy decreased,-3020.0
1(PM-3),2025-03-09 10:08:40,2025-03-09 02:08:40,1,212.81,210.22,219.46,366.35,372.11,374.35,22.1,15.63,27.54,3742.02,92.75,90.52,85.27,979.24,9041198,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:08:45,2025-03-09 02:08:45,1,214.96,214.99,216.34,372.34,373.54,373.51,21.6,6.61,28.61,3268.28,95.3,88.9,96.93,549.14,9041202,accumActiveEnergy decreased,-3017.0
1(PM-3),2025-03-09 10:08:50,2025-03-09 02:08:50,1,219.55,210.11,218.56,372.09,371.23,379.41,16.43,27.26,25.44,3972.06,85.02,99.17,90.72,829.15,9041208,accumActiveEnergy decreased,-3014.0
1(PM-3),2025-03-09 10:08:55,2025-03-09 02:08:55,1,215.64,211.5,212.26,369.9,366.97,370.56,23.2,23.41,19.16,3738.96,88.33,89.36,97.51,494.4,9041213,accumActiveEnergy decreased,-3013.0
1(PM-3),2025-03-09 10:09:00,2025-03-09 02:09:00,1,212.17,213.5,216.28,368.63,372.19,371.03,5.75,25.98,5.46,2119.51,96.44,97.11,91.59,359.82,9041216,accumActiveEnergy decreased,-3014.0
1(PM-3),2025-03-09 10:09:05,2025-03-09 02:09:05,1,217.91,210.38,210.6,370.91,364.57,371.09,11.18,6.63,7.69,1453.89,87.06,99.07,93.95,159.3,9041218,accumActiveEnergy decreased,-3015.0
1(PM-3),2025-03-09 10:09:10,2025-03-09 02:09:10,1,211.54,217.77,212.39,371.78,372.52,367.12,22.86,25.78,5.4,3092.45,88.75,89.63,95.98,713.84,9041222,accumActiveEnergy decreased,-3014.0
1(PM-3),2025-03-09 10:09:15,2025-03-09 02:09:15,1,216.77,213.57,212.29,372.67,368.8,371.57,24.52,8.16,6.45,2247.16,97.27,92.81,90.87,630.3,9041225,accumActiveEnergy decreased,-3016.0
1(PM-3),2025-03-09 10:09:20,2025-03-09 02:09:20,1,212.42,214.81,213.98,369.99,371.34,369.26,11.47,26.25,6.73,2538.0,89.26,99.62,91.1,309.02,9041229,accumActiveEnergy decreased,-3016.0
1(PM-3),2025-03-09 10:09:25,2025-03-09 02:09:25,1,214.22,219.39,215.44,375.5,376.56,372.08,29.11,24.78,13.7,3899.75,86.81,91.29,87.45,806.64,9041234,accumActiveEnergy decreased,-3015.0
1(PM-3),2025-03-09 10:09:30,2025-03-09 02:09:30,1,217.13,214.8,219.23,374.05,375.87,377.88,23.29,29.84,10.6,3677.5,96.77,98.05,94.84,690.76,9041239,accumActiveEnergy decreased,-3015.0
1(PM-3),2025-03-09 10:09:35,2025-03-09 02:09:35,1,211.56,211.33,218.33,366.22,372.09,372.28,9.45,5.88,15.29,1754.79,99.57,90.5,97.6,296.35,9041242,accumActiveEnergy decreased,-3016.0
1(PM-3),2025-03-09 10:09:40,2025-03-09 02:09:40,1,215.2,212.04,211.09,369.98,366.43,369.17,26.95,8.41,27.99,3598.07,91.73,89.87,98.22,585.71,9041247,accumActiveEnergy decreased,-3014.0
1(PM-3),2025-03-09 10:09:45,2025-03-09 02:09:45,1,217.55,217.01,210.72,376.33,370.41,370.88,6.92,23.39,26.18,3226.32,94.92,94.25,99.05,606.93,9041251,accumActiveEnergy decreased,-3015.0
1(PM-3),2025-03-09 10:09:50,2025-03-09 02:09:50,1,214.74,212.52,212.08,370.01,367.7,369.63,7.41,6.49,11.79,1459.04,97.61,88.52,88.25,324.21,9041253,accumActiveEnergy decreased,-3018.0
1(PM-3),2025-03-09 10:09:55,2025-03-09 02:09:55,1,216.88,215.29,216.61,374.26,374.03,375.4,20.25,15.7,27.89,3683.69,93.58,93.95,98.86,656.45,9041258,accumActiveEnergy decreased,-3018.0
